LOC_ID,LATITUDE,LONGITUDE,,,,,,,
1000033,39.289592,-84.469214,,,,,,,
1000168,35.406991,-80.685957,,,,,,,
1000252,37.773134,-122.411167,,,,,,,
1000333,28.578577,-81.534116,,,,,,,
1000424,38.774327,-90.795044,,,,,,,
1000709,40.750633,-73.997177,,,,,,,
1000713,30.609093,-96.325984,,,,,,,
1000757,35.989146,-77.842675,,,,,,,
1000788,42.782084,-71.518043,,,,,,,
1000918,42.883098,-85.527623,,,,,,,
1000981,38.376421,-82.270009,,,,,,,
1001059,39.255826,-108.534246,,,,,,,
1001061,37.132347,-80.424783,,,,,,,
1001102,43.806197,-91.140529,,,,,,,
1001123,36.976175,-121.95316,,,,,,,
1001233,34.139526,-80.888209,,,,,,,
1001247,40.919729,-73.862651,,,,,,,
1001281,41.208002,-76.739819,,,,,,,
1001407,34.072924,-118.37271,,,,,,,
1001491,30.169821,-81.739144,,,,,,,
1001514,39.161942,-76.629444,,,,,,,
1001562,47.661688,-122.715469,,,,,,,
1001572,39.351016,-87.411897,,,,,,,
1001583,48.144826,-101.326016,,,,,,,
1001597,47.618337,-122.205341,,,,,,,
1001618,40.767349,-82.572626,,,,,,,
1001660,32.548807,-84.924106,,,,,,,
1001715,38.8996,-94.638358,,,,,,,
1001722,47.319261,-111.298533,,,,,,,
1001822,41.373553,-104.84281,,,,,,,
1001829,39.029195,-84.562134,,,,,,,
1001938,43.178683,-86.199103,,,,,,,
1002011,39.712845,-105.091519,,,,,,,
1002078,39.27464,-84.597876,,,,,,,
1002241,27.545398,-99.462022,,,,,,,
1002335,31.997154,-81.230649,,,,,,,
1002455,25.77789,-80.176165,,,,,,,
1002572,26.64892,-80.246459,,,,,,,
1002693,32.378728,-86.145011,,,,,,,
1002695,42.284822,-71.348811,,,,,,,
1002864,29.545041,-95.350629,,,,,,,
1002987,36.13172,-115.168382,,,,,,,
1003030,42.432165,-76.497042,,,,,,,
1003191,41.173039,-73.280818,,,,,,,
1003197,42.606146,-82.937475,,,,,,,
1003341,39.377297,-74.451082,,,,,,,
1003428,42.234909,-87.959135,,,,,,,
1003490,42.030852,-93.5884,,,,,,,
1003539,38.907017,-77.041569,,,,,,,
1003581,25.659873,-80.358354,,,,,,,
1003633,33.391904,-84.570611,,,,,,,
1003664,41.032932,-73.765071,,,,,,,
1003735,40.298625,-74.074178,,,,,,,
1003790,40.395872,-79.907511,,,,,,,
1003937,42.507586,-82.936582,,,,,,,
1004033,37.274934,-89.540005,,,,,,,
1003937,42.507586,-82.936582,,,,,,,
1006049,42.877992,-85.767881,,,,,,,
1001938,43.178683,-86.199103,,,,,,,
1000918,42.883098,-85.527623,,,,,,,
1003490,42.030852,-93.5884,,,,,,,
1005461,41.589689,-90.625902,,,,,,,
1005485,43.158204,-87.913225,,,,,,,
1004766,43.136269,-89.347319,,,,,,,
1017287,44.49279,-88.067301,,,,,,,
1001102,43.806197,-91.140529,,,,,,,
1016500,44.851166,-93.226013,,,,,,,
1013611,46.85614,-96.822073,,,,,,,
1001583,48.144826,-101.326016,,,,,,,
1001722,47.319261,-111.298533,,,,,,,
1003428,42.234909,-87.959135,,,,,,,
1017026,41.509668,-88.180211,,,,,,,
1017014,38.458675,-90.316506,,,,,,,
1000424,38.774327,-90.795044,,,,,,,
1004033,37.274934,-89.540005,,,,,,,
1001715,38.8996,-94.638358,,,,,,,
1017200,30.26187,-89.794189,,,,,,,
1004775,30.297957,-89.840688,,,,,,,
1016464,32.928902,-96.619782,,,,,,,
1005402,32.925765,-97.071545,,,,,,,
1004336,32.667539,-97.416806,,,,,,,
1002864,29.545041,-95.350629,,,,,,,
1000713,30.609093,-96.325984,,,,,,,
1002241,27.545398,-99.462022,,,,,,,
1006177,31.79695,-106.35688,,,,,,,
1016447,39.890663,-105.113724,,,,,,,
1006394,39.61601,-105.069449,,,,,,,
1002011,39.712845,-105.091519,,,,,,,
1005528,40.529861,-105.036641,,,,,,,
1001059,39.255826,-108.534246,,,,,,,
1001822,41.373553,-104.84281,,,,,,,
1004606,31.571011,-110.170235,,,,,,,
1002987,36.13172,-115.168382,,,,,,,
1001407,34.072924,-118.37271,,,,,,,
1005053,34.128284,-118.047732,,,,,,,
1005513,37.779588,-122.419318,,,,,,,
1000252,37.773134,-122.411167,,,,,,,
1017043,37.954131,-122.07614,,,,,,,
1001123,36.976175,-121.95316,,,,,,,
1013575,21.406053,-157.884952,,,,,,,
1016426,45.445048,-122.528173,,,,,,,
1004782,45.528929,-122.643927,,,,,,,
1006522,42.265992,-122.900842,,,,,,,
1001597,47.618337,-122.205341,,,,,,,
1001562,47.661688,-122.715469,,,,,,,
